paper_uid_after_direct_w,cohort,target_year,target_topic,partial,eng_cite_count,Y_jc,obs_start,obs_end,age_jc,age_bin,N_topic_jc,ln_offset
P00026607,C2,2000.0,-1,0,0,0,2010.0,2014,12.0,11+,57,4.060443010546419
P00026607,C3,2000.0,-1,0,0,0,2015.0,2019,17.0,11+,66,4.204692619390966
P00026607,C4,2000.0,-1,0,0,0,2020.0,2024,22.0,11+,79,4.382026634673881
P00026608,C1,2007.0,13,1,0,0,2007.0,2009,1.0,0-2,1,0.6931471805599453
P00026608,C2,2007.0,13,0,1,1,2010.0,2014,5.0,3-5,1,0.6931471805599453
P00026608,C3,2007.0,13,0,0,0,2015.0,2019,10.0,6-10,2,1.0986122886681098
P00026608,C4,2007.0,13,0,0,0,2020.0,2024,15.0,11+,8,2.1972245773362196
P00026609,C1,2004.0,21,1,0,0,2004.0,2009,2.5,3-5,0,0.0
P00026609,C2,2004.0,21,0,0,0,2010.0,2014,8.0,6-10,0,0.0
P00026609,C3,2004.0,21,0,0,0,2015.0,2019,13.0,11+,0,0.0
P00026609,C4,2004.0,21,0,0,0,2020.0,2024,18.0,11+,0,0.0
P00026610,C1,2000.0,8,1,0,0,2000.0,2009,4.5,3-5,0,0.0
P00026610,C2,2000.0,8,0,0,0,2010.0,2014,12.0,11+,3,1.3862943611198906
P00026610,C3,2000.0,8,0,0,0,2015.0,2019,17.0,11+,0,0.0
P00026610,C4,2000.0,8,0,0,0,2020.0,2024,22.0,11+,1,0.6931471805599453
P00026611,C1,2004.0,13,1,0,0,2004.0,2009,2.5,3-5,1,0.6931471805599453
P00026611,C2,2004.0,13,0,0,0,2010.0,2014,8.0,6-10,1,0.6931471805599453
P00026611,C3,2004.0,13,0,0,0,2015.0,2019,13.0,11+,2,1.0986122886681098
P00026611,C4,2004.0,13,0,0,0,2020.0,2024,18.0,11+,8,2.1972245773362196
P00026612,C1,2002.0,13,1,0,0,2002.0,2009,3.5,3-5,1,0.6931471805599453
P00026612,C2,2002.0,13,0,0,0,2010.0,2014,10.0,6-10,1,0.6931471805599453
P00026612,C3,2002.0,13,0,0,0,2015.0,2019,15.0,11+,2,1.0986122886681098
P00026612,C4,2002.0,13,0,0,0,2020.0,2024,20.0,11+,8,2.1972245773362196
P00026613,C1,1998.0,13,1,0,0,1998.0,2009,5.5,6-10,1,0.6931471805599453
P00026613,C2,1998.0,13,0,0,0,2010.0,2014,14.0,11+,1,0.6931471805599453
P00026613,C3,1998.0,13,0,0,0,2015.0,2019,19.0,11+,2,1.0986122886681098
P00026613,C4,1998.0,13,0,0,0,2020.0,2024,24.0,11+,8,2.1972245773362196
P00026614,C1,1996.0,13,1,0,0,1996.0,2009,6.5,6-10,1,0.6931471805599453
P00026614,C2,1996.0,13,0,0,0,2010.0,2014,16.0,11+,1,0.6931471805599453
P00026614,C3,1996.0,13,0,0,0,2015.0,2019,21.0,11+,2,1.0986122886681098
P00026614,C4,1996.0,13,0,0,0,2020.0,2024,26.0,11+,8,2.1972245773362196
P00026615,C1,2003.0,13,1,0,0,2003.0,2009,3.0,3-5,1,0.6931471805599453
P00026615,C2,2003.0,13,0,0,0,2010.0,2014,9.0,6-10,1,0.6931471805599453
P00026615,C3,2003.0,13,0,0,0,2015.0,2019,14.0,11+,2,1.0986122886681098
P00026615,C4,2003.0,13,0,0,0,2020.0,2024,19.0,11+,8,2.1972245773362196
P00026616,C1,2001.0,11,1,0,0,2001.0,2009,4.0,3-5,1,0.6931471805599453
P00026616,C2,2001.0,11,0,0,0,2010.0,2014,11.0,11+,4,1.6094379124341003
P00026616,C3,2001.0,11,0,0,0,2015.0,2019,16.0,11+,9,2.302585092994046
P00026616,C4,2001.0,11,0,0,0,2020.0,2024,21.0,11+,5,1.791759469228055
P00026617,C1,1998.0,13,1,0,0,1998.0,2009,5.5,6-10,1,0.6931471805599453
P00026617,C2,1998.0,13,0,0,0,2010.0,2014,14.0,11+,1,0.6931471805599453
P00026617,C3,1998.0,13,0,0,0,2015.0,2019,19.0,11+,2,1.0986122886681098
P00026617,C4,1998.0,13,0,0,0,2020.0,2024,24.0,11+,8,2.1972245773362196
P00026618,C1,2004.0,13,1,0,0,2004.0,2009,2.5,3-5,1,0.6931471805599453
P00026618,C2,2004.0,13,0,0,0,2010.0,2014,8.0,6-10,1,0.6931471805599453
P00026618,C3,2004.0,13,0,0,0,2015.0,2019,13.0,11+,2,1.0986122886681098
P00026618,C4,2004.0,13,0,0,0,2020.0,2024,18.0,11+,8,2.1972245773362196
P00026656,C1,2008.0,13,1,0,0,2008.0,2009,0.5,0-2,1,0.6931471805599453
P00026656,C2,2008.0,13,0,0,0,2010.0,2014,4.0,3-5,1,0.6931471805599453
P00026656,C3,2008.0,13,0,0,0,2015.0,2019,9.0,6-10,2,1.0986122886681098
P00026656,C4,2008.0,13,0,0,0,2020.0,2024,14.0,11+,8,2.1972245773362196
P00026657,C1,2008.0,13,1,0,0,2008.0,2009,0.5,0-2,1,0.6931471805599453
P00026657,C2,2008.0,13,0,0,0,2010.0,2014,4.0,3-5,1,0.6931471805599453
P00026657,C3,2008.0,13,0,0,0,2015.0,2019,9.0,6-10,2,1.0986122886681098
P00026657,C4,2008.0,13,0,0,0,2020.0,2024,14.0,11+,8,2.1972245773362196
P00026658,C1,1998.0,-1,1,0,0,1998.0,2009,5.5,6-10,7,2.0794415416798357
P00026658,C2,1998.0,-1,0,0,0,2010.0,2014,14.0,11+,57,4.060443010546419
P00026658,C3,1998.0,-1,0,0,0,2015.0,2019,19.0,11+,66,4.204692619390966
P00026658,C4,1998.0,-1,0,0,0,2020.0,2024,24.0,11+,79,4.382026634673881
P00026667,C1,2003.0,-1,1,0,0,2003.0,2009,3.0,3-5,7,2.0794415416798357
P00026667,C2,2003.0,-1,0,0,0,2010.0,2014,9.0,6-10,57,4.060443010546419
P00026667,C3,2003.0,-1,0,0,0,2015.0,2019,14.0,11+,66,4.204692619390966
P00026667,C4,2003.0,-1,0,0,0,2020.0,2024,19.0,11+,79,4.382026634673881
P00026676,C1,2008.0,-1,1,0,0,2008.0,2009,0.5,0-2,7,2.0794415416798357
P00026676,C2,2008.0,-1,0,0,0,2010.0,2014,4.0,3-5,57,4.060443010546419
P00026676,C3,2008.0,-1,0,0,0,2015.0,2019,9.0,6-10,66,4.204692619390966
P00026676,C4,2008.0,-1,0,0,0,2020.0,2024,14.0,11+,79,4.382026634673881
P00026677,C1,2006.0,2,1,0,0,2006.0,2009,1.5,0-2,3,1.3862943611198906
P00026677,C2,2006.0,2,0,0,0,2010.0,2014,6.0,6-10,10,2.3978952727983707
P00026677,C3,2006.0,2,0,0,0,2015.0,2019,11.0,11+,28,3.367295829986474
P00026677,C4,2006.0,2,0,0,0,2020.0,2024,16.0,11+,10,2.3978952727983707
P00026678,C1,2006.0,-1,1,0,0,2006.0,2009,1.5,0-2,7,2.0794415416798357
P00026678,C2,2006.0,-1,0,0,0,2010.0,2014,6.0,6-10,57,4.060443010546419
P00026678,C3,2006.0,-1,0,0,0,2015.0,2019,11.0,11+,66,4.204692619390966
P00026678,C4,2006.0,-1,0,0,0,2020.0,2024,16.0,11+,79,4.382026634673881
P00026680,C1,2003.0,0,1,0,0,2003.0,2009,3.0,3-5,16,2.833213344056216
P00026680,C2,2003.0,0,0,0,0,2010.0,2014,9.0,6-10,47,3.871201010907891
P00026680,C3,2003.0,0,0,0,0,2015.0,2019,14.0,11+,59,4.0943445622221
P00026680,C4,2003.0,0,0,0,0,2020.0,2024,19.0,11+,61,4.127134385045092
P00026681,C1,2005.0,2,1,0,0,2005.0,2009,2.0,0-2,3,1.3862943611198906
P00026681,C2,2005.0,2,0,0,0,2010.0,2014,7.0,6-10,10,2.3978952727983707
P00026681,C3,2005.0,2,0,0,0,2015.0,2019,12.0,11+,28,3.367295829986474
P00026681,C4,2005.0,2,0,0,0,2020.0,2024,17.0,11+,10,2.3978952727983707
P00026687,C1,2006.0,8,1,0,0,2006.0,2009,1.5,0-2,0,0.0
P00026687,C2,2006.0,8,0,0,0,2010.0,2014,6.0,6-10,3,1.3862943611198906
P00026687,C3,2006.0,8,0,0,0,2015.0,2019,11.0,11+,0,0.0
P00026687,C4,2006.0,8,0,0,0,2020.0,2024,16.0,11+,1,0.6931471805599453
P00026689,C1,2001.0,39,1,0,0,2001.0,2009,4.0,3-5,0,0.0
P00026689,C2,2001.0,39,0,0,0,2010.0,2014,11.0,11+,0,0.0
