paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year,direct_article_id,direct_id_sources,direct_id_values,direct_id_conflict,query_signature
P00044686,평화교육의 관점에서 본 통일교육,,,2004,,,,False,평화교육의관점에서본통일교육||||||2004
P00044687,"통일교육에 있어서의 민족, 평화, 시민에 대한 논의",,,2001,,,,False,통일교육에있어서의민족평화시민에대한논의||||||2001
P00044688,남북한 문화의 ‘긍정적 다름’이 통일교육에 주는 함의 연구,오기성,통일정책연구,2001,,,,False,남북한문화의긍정적다름이통일교육에주는함의연구||오기성||통일정책연구||2001
P00044689,통일교육지침체계 재정립에 관한 연구,,,2003,,,,False,통일교육지침체계재정립에관한연구||||||2003
P00044690,즐거운 초등학교 통일교육,,,2003,,,,False,즐거운초등학교통일교육||||||2003
P00044691,통일의식의 세대간지역간 편차 해소방안,,,2006,,,,False,통일의식의세대간지역간편차해소방안||||||2006
P00044692,통일과 민주시민교육,,,2004,,,,False,통일과민주시민교육||||||2004
P00044693,한국의 민족 정체성과 통일을 위한 ‘열린 민족’ 개념에 관한 연구,,,2001,,,,False,한국의민족정체성과통일을위한열린민족개념에관한연구||||||2001
P00044694,통일교육으로서의 평화교육 재정립 방안,,,2007,,,,False,통일교육으로서의평화교육재정립방안||||||2007
P00044695,통일교육의 철학적 바탕,,,2002,,,,False,통일교육의철학적바탕||||||2002
P00044696,평화지향적 통일교육의 이해,,,2007,,,,False,평화지향적통일교육의이해||||||2007
P00044697,"소프트해진 통일교육, 그 쟁점과 위상",,,2003,,,,False,소프트해진통일교육그쟁점과위상||||||2003
P00044698,학교 통일교육의 평화교육적 접근,,,2003,,,,False,학교통일교육의평화교육적접근||||||2003
P00044699,통일교육에서 평화교육적 접근의 타당성,추병완,통일문제연구,2003,ART000892934,paper_uid,ART000892934,False,통일교육에서평화교육적접근의타당성||추병완||통일문제연구||2003
P00044700,학교통일교육의 사회과학적 접근 모색. 통일문제연구 . 제6권 제2호,,,1994.,,,,False,학교통일교육의사회과학적접근모색통일문제연구제6권제2호||||||1994
P00044701,평화와 통일을 지향하는 교육의 접근 방향과 과제,,,2000,,,,False,평화와통일을지향하는교육의접근방향과과제||||||2000
P00044702,통일교육의 실태조사 및 성과분석,,,2003,,,,False,통일교육의실태조사및성과분석||||||2003
P00044703,남북한 평화체제의 건설과 통일교육,,,2003,,,,False,남북한평화체제의건설과통일교육||||||2003
P00044704,민주시민교육과 통일교육의 균형적 발전방향.,허영식,한국민주시민교육학회보,2000,,,,False,민주시민교육과통일교육의균형적발전방향||허영식||한국민주시민교육학회보||2000
P00044705,독일 연방정치교육원의 기능과 역할,,,2005,,,,False,독일연방정치교육원의기능과역할||||||2005
P00044706,남북대화: 74에서 615까지,,,2004,,,,False,남북대화74에서615까지||||||2004
P00044707,탈냉전기 북한의 대남 협상형태: 지속성과 변화,,,1995,,,,False,탈냉전기북한의대남협상형태지속성과변화||||||1995
P00044708,남북체육회담의 성패요인과 전망,김동선,한국체육학회지,2000,,,,False,남북체육회담의성패요인과전망||김동선||한국체육학회지||2000
P00044709,우리나라 통일과정에서 스포츠 교류의 역할,김동선,한국체육학회지,2001,,,,False,우리나라통일과정에서스포츠교류의역할||김동선||한국체육학회지||2001
P00044710,동계올림픽 남북한 공동개최를 위한 전략 탐색,,,2001,,,,False,동계올림픽남북한공동개최를위한전략탐색||||||2001
